,method,RMSE,MAE,sinkhorn,energy,gaussian,laplacian,R2score
0,full_linear,0.9616,0.7824,0.6135,0.8677,0.7192,0.5308,0.1375
1,full_net,1.0922,0.8732,0.5352,0.2538,0.1826,0.1597,-0.1128
2,unaware_linear,0.984,0.7966,0.1088,0.197,0.1847,0.1525,0.0967
3,unaware_net,1.1102,0.8816,0.0184,0.0243,0.0184,0.0215,-0.1497
4,level2_lin_True,1.0626,0.8518,0.0216,0.0143,0.0095,0.0179,-0.0532
5,level2_lin_False,1.0342,0.8315,0.0158,0.0208,0.0185,0.021,0.0023
6,level3_lin_True,1.3985,1.0852,0.0694,0.0205,0.0083,0.0143,-0.8243
7,level3_lin_False,1.0614,0.8531,0.0294,0.0073,0.0053,0.0093,-0.0508
8,AL_prediction,0.9218,0.7476,1.0164,0.9064,0.5131,0.3729,0.2073
9,GL_prediction,0.9544,0.7734,0.2408,0.2645,0.1942,0.1487,0.1503
10,GD_prediction,1.0242,0.8269,0.0014,0.0226,0.0053,0.0402,0.0214
